iter	Logloss
0	0.6929364023
1	0.6927382847
2	0.6925174199
3	0.6922726747
4	0.6920411323
5	0.6918642163
6	0.6916242659
7	0.6914919334
8	0.6912630719
9	0.691138504
10	0.6909649359
11	0.6908252068
12	0.6906261117
13	0.6904765277
14	0.6903115143
15	0.6901295843
16	0.689933572
17	0.6897716842
18	0.6895384188
19	0.6893859438
20	0.6892022063
21	0.6889540743
22	0.6887832928
23	0.6885899319
24	0.6884346224
25	0.6882426488
26	0.6880993639
27	0.6879441276
28	0.6877926315
29	0.6876781665
30	0.6874938234
31	0.6873781617
32	0.6872681973
33	0.687144719
34	0.6869462017
35	0.686797418
36	0.6866303402
37	0.6864725582
38	0.6863648248
39	0.6862381276
40	0.6861423173
41	0.68602468
42	0.6859421246
43	0.6858674113
44	0.6857263614
45	0.6855983092
46	0.6854701673
47	0.6853129363
48	0.6851590119
49	0.6850159638
50	0.6848816331
51	0.6847591343
52	0.6847023703
53	0.6845790202
54	0.6844603194
55	0.6843048621
56	0.6841970312
57	0.6841154995
58	0.6839915948
59	0.6838299282
60	0.6837638297
61	0.683658172
62	0.6835718957
63	0.6834483366
64	0.6833209464
65	0.6832224521
66	0.6831269217
67	0.6830036105
68	0.6828723458
69	0.6827543772
70	0.6826577252
71	0.68256512
72	0.6824783553
73	0.6824127897
74	0.6822977221
75	0.6822031923
76	0.6820689464
77	0.6819970868
78	0.6819078266
79	0.6817834388
80	0.6816992659
81	0.6815804004
82	0.6814807362
83	0.6813983677
84	0.6812967928
85	0.6811850247
86	0.6810665817
87	0.6809818262
88	0.6809410897
89	0.6808795299
90	0.6808018062
91	0.68075586
92	0.6806818535
93	0.6805749095
94	0.6805180196
95	0.6804388201
96	0.6803818419
97	0.6803094344
98	0.6802362734
99	0.6801683912
100	0.6800906794
101	0.6799518185
102	0.6799004238
103	0.6798293545
104	0.6797449314
105	0.6796828817
106	0.6796327303
107	0.6796020009
108	0.6795402337
109	0.6794790243
110	0.6794046749
111	0.6793234092
112	0.6792587911
113	0.6792219821
114	0.6791534372
115	0.6790804914
116	0.6790208457
117	0.6789777973
118	0.6788992988
119	0.6788689429
120	0.6788011787
121	0.6786776395
122	0.6785960606
123	0.678557606
124	0.6784768856
125	0.6784153208
126	0.6783404431
127	0.6782576631
128	0.6782047353
129	0.6781849873
130	0.6780877276
131	0.6780504014
132	0.6780031239
133	0.6779148641
134	0.6778435174
135	0.6777520985
136	0.6776953337
137	0.6776282061
138	0.6775506229
139	0.6775078282
140	0.6774435024
141	0.6773386613
142	0.6772932884
143	0.6772507224
144	0.6772051048
145	0.6771311029
146	0.6770443252
147	0.6769475914
148	0.6768700942
149	0.6768067223
150	0.6767761757
151	0.6767409028
152	0.6766695009
153	0.6766129562
154	0.6765582578
155	0.6765257594
156	0.6764825605
157	0.676399963
158	0.6763325274
159	0.6762853359
160	0.6762153255
161	0.6761712836
162	0.6760794901
163	0.6760360828
164	0.6759928016
165	0.6759572347
166	0.6759061764
167	0.6758678078
168	0.675794006
169	0.6757335805
170	0.6757027005
171	0.6756577481
172	0.6756176496
173	0.6755733705
174	0.675558941
175	0.6755087037
176	0.6754775695
177	0.6754335517
178	0.6753879462
179	0.6753404761
180	0.6752358432
181	0.6751968157
182	0.6751640936
183	0.6751216669
184	0.6750540884
185	0.6750114947
186	0.6749630192
187	0.674927897
188	0.6748877274
189	0.6748660318
190	0.6748098775
191	0.6747556894
192	0.6747060494
193	0.674639358
194	0.6746076892
195	0.6745611807
196	0.6745310444
197	0.6744859108
198	0.6744392653
199	0.6743613573
