iter	Passed	Remaining
0	16	3350
1	24	2457
2	28	1881
3	34	1695
4	37	1444
5	39	1272
6	41	1140
7	43	1042
8	45	966
9	47	901
10	49	846
11	51	800
12	52	756
13	54	717
14	55	683
15	56	651
16	58	628
17	59	603
18	61	581
19	62	560
20	63	541
21	64	524
22	65	507
23	66	491
24	68	476
25	69	462
26	70	450
27	71	438
28	72	427
29	73	416
30	75	408
31	76	399
32	77	391
33	78	384
34	79	376
35	81	369
36	82	362
37	83	356
38	84	350
39	85	343
40	87	338
41	88	332
42	90	331
43	92	326
44	93	322
45	95	319
46	99	322
47	101	320
48	104	322
49	106	320
50	108	316
51	109	312
52	111	308
53	112	304
54	114	301
55	115	297
56	117	294
57	118	291
58	120	288
59	122	284
60	123	281
61	125	278
62	126	275
63	128	272
64	130	270
65	131	267
66	133	265
67	135	262
68	136	259
69	138	257
70	140	255
71	142	253
72	144	251
73	147	251
74	152	253
75	154	251
76	156	249
77	158	247
78	159	244
79	161	242
80	163	240
81	165	238
82	167	235
83	168	233
84	170	230
85	172	228
86	174	226
87	176	224
88	177	221
89	179	219
90	181	217
91	183	214
92	184	212
93	186	210
94	188	208
95	191	207
96	193	205
97	195	203
98	196	200
99	201	201
100	202	198
101	204	196
102	206	194
103	207	191
104	209	189
105	211	187
106	212	185
107	214	182
108	216	180
109	217	178
110	219	175
111	221	173
112	222	171
113	224	169
114	225	166
115	227	164
116	229	162
117	231	160
118	232	158
119	234	156
120	237	155
121	240	153
122	242	151
123	244	149
124	246	148
125	248	145
126	250	143
127	251	141
128	254	140
129	256	137
130	257	135
131	259	133
132	260	131
133	262	129
134	264	127
135	266	125
136	268	123
137	269	121
138	271	119
139	273	117
140	275	115
141	277	113
142	278	111
143	280	109
144	294	111
145	295	109
146	297	107
147	299	105
148	301	103
149	303	101
150	304	98
151	306	96
152	308	94
153	310	92
154	312	90
155	313	88
156	315	86
157	317	84
158	319	82
159	321	80
160	323	78
161	325	76
162	327	74
163	330	72
164	333	70
165	335	68
166	337	66
167	340	64
168	342	62
169	343	60
170	345	58
171	347	56
172	349	54
173	351	52
174	353	50
175	354	48
176	356	46
177	358	44
178	360	42
179	362	40
180	364	38
181	366	36
182	368	34
183	370	32
184	373	30
185	376	28
186	379	26
187	382	24
188	385	22
189	387	20
190	388	18
191	390	16
192	392	14
193	394	12
194	396	10
195	398	8
196	400	6
197	402	4
198	404	2
199	406	0
